"@green65mustang @realDonaldTrump @USMC I've never seen such a disrespectful President. I am sick of his golfing, not doing his job, being rude to others, out for personal gain. And lying everyday.",en
"@NathanWRobinson @TheJordanRachel @FoxNews I think if you look at Thatcher she was our Trump she would not be messed about she understood the world was changing but wanted the best deal for her country folk daughter of a greengrocer although her sons dealings and her links to Saville is a stain on her legacy, now i have-",en
@tinybeani @somebodystop_me @mellefluous @realtrumpweathr @realDonaldTrump Lol - no - it’s much less than that,en
After hearing ⁦@SecPompeo⁩ today! These are the kind of people ⁦@realDonaldTrump⁩ deserves around him!  https://t.co/EJgR4ygVH0,en
@frankfraggers @HKrassenstein @realDonaldTrump Too bad your only joy in life is other people’s sadness. Must really suck to hang with you,en
"@realDonaldTrump You worked so hard, the rallies were epic! Real patriots love you, lovers of freedom love you and GOD likes you 😉  https://t.co/bAz5W1yfJF",en
"@lopezlinette The Pompeos have carved out a fiefdom of State in the feudal, if not futile, system of Trump. As an auxiliary member once removed, of the cabinet court, Susan Pompeo wields her scorn of being a lady in waiting.",en
"@realDonaldTrump Trump's removal of ""red tape"" to get this vaccine out fast will cause all of america to become the next Tuskegee experiment.",en
Trump might end up with a second term in office 💀😱😬,en
"@pretty_cellaa It's the ""all trump staff"" for me 😂",en
